studentID,Type,Time
1,Standard,38
2,Color,36
3,Color,42
4,Standard,35
5,Standard,32
6,Color,37
7,Color,38
8,Standard,38
9,Standard,37
10,Standard,36
11,Color,35
12,Color,40
13,Standard,41
14,Standard,39
15,Color,33
16,Color,40
17,Color,46
18,Standard,33
19,Color,38
20,Standard,31
21,Standard,36
22,Standard,37
23,Color,35
24,Standard,33
25,Color,37
26,Color,40
27,Color,37
28,Standard,31
29,Standard,36
30,Standard,34
31,Color,34
32,Standard,33
33,Color,31
34,Color,44
35,Color,39
36,Standard,39
37,Standard,42
38,Color,41
39,Color,39
40,Standard,30
