Age,Process,Words
Younger,Counting,8
Younger,Counting,6
Younger,Counting,4
Younger,Counting,6
Younger,Counting,7
Younger,Counting,6
Younger,Counting,5
Younger,Counting,7
Younger,Counting,9
Younger,Counting,7
Younger,Rhyming,10
Younger,Rhyming,7
Younger,Rhyming,8
Younger,Rhyming,10
Younger,Rhyming,4
Younger,Rhyming,7
Younger,Rhyming,10
Younger,Rhyming,6
Younger,Rhyming,7
Younger,Rhyming,7
Younger,Adjective,14
Younger,Adjective,11
Younger,Adjective,18
Younger,Adjective,14
Younger,Adjective,13
Younger,Adjective,22
Younger,Adjective,17
Younger,Adjective,16
Younger,Adjective,12
Younger,Adjective,11
Younger,Imagery,20
Younger,Imagery,16
Younger,Imagery,16
Younger,Imagery,15
Younger,Imagery,18
Younger,Imagery,16
Younger,Imagery,20
Younger,Imagery,22
Younger,Imagery,14
Younger,Imagery,19
Younger,Intentional,21
Younger,Intentional,19
Younger,Intentional,17
Younger,Intentional,15
Younger,Intentional,22
Younger,Intentional,16
Younger,Intentional,22
Younger,Intentional,22
Younger,Intentional,18
Younger,Intentional,21
Older,Counting,9
Older,Counting,8
Older,Counting,6
Older,Counting,8
Older,Counting,10
Older,Counting,4
Older,Counting,6
Older,Counting,5
Older,Counting,7
Older,Counting,7
Older,Rhyming,7
Older,Rhyming,9
Older,Rhyming,6
Older,Rhyming,6
Older,Rhyming,6
Older,Rhyming,11
Older,Rhyming,6
Older,Rhyming,3
Older,Rhyming,8
Older,Rhyming,7
Older,Adjective,11
Older,Adjective,13
Older,Adjective,8
Older,Adjective,6
Older,Adjective,14
Older,Adjective,11
Older,Adjective,13
Older,Adjective,13
Older,Adjective,10
Older,Adjective,11
Older,Imagery,12
Older,Imagery,11
Older,Imagery,16
Older,Imagery,11
Older,Imagery,9
Older,Imagery,23
Older,Imagery,12
Older,Imagery,10
Older,Imagery,19
Older,Imagery,11
Older,Intentional,10
Older,Intentional,19
Older,Intentional,14
Older,Intentional,5
Older,Intentional,10
Older,Intentional,11
Older,Intentional,14
Older,Intentional,15
Older,Intentional,11
Older,Intentional,11
