Subject,Trial,Song,Length,WPM,Accuracy,Subject WPM Ave,SubjectWPM,AWPM
1,1,Stayin' Alive,1,31,67,33.25,-2.25,20.77
1,2,Yesterday,1,35,79,33.25,1.75,27.65
1,3,Yesterday,3,37,81,33.25,3.75,29.97
1,4,Stayin' Alive,3,30,84,33.25,-3.25,25.2
2,1,Yesterday,3,36,90,37.75,-1.75,32.4
2,2,Stayin' Alive,1,40,91,37.75,2.25,36.4
2,3,Stayin' Alive,3,39,91,37.75,1.25,35.49
2,4,Yesterday,1,36,87,37.75,-1.75,31.32
3,1,Stayin' Alive,3,84,88,87.75,-3.75,73.92
3,2,Yesterday,3,86,94,87.75,-1.75,80.84
3,3,Stayin' Alive,1,94,93,87.75,6.25,87.42
3,4,Yesterday,1,87,92,87.75,-0.75,80.04
4,1,Stayin' Alive,1,52,98,47.25,4.75,50.96
4,2,Stayin' Alive,3,45,93,47.25,-2.25,41.85
4,3,Yesterday,1,48,94,47.25,0.75,45.12
4,4,Yesterday,3,44,95,47.25,-3.25,41.8
5,1,Stayin' Alive,1,44,86,43.75,0.25,37.84
5,2,Yesterday,3,40,91,43.75,-3.75,36.4
5,3,Yesterday,1,49,92,43.75,5.25,45.08
5,4,Stayin' Alive,3,42,88,43.75,-1.75,36.96
6,1,Stayin' Alive,3,77,95,76,1,73.15
6,2,Yesterday,1,80,95,76,4,76
6,3,Stayin' Alive,1,79,95,76,3,75.05
6,4,Yesterday,3,68,96,76,-8,65.28
7,1,Yesterday,1,37,77,36.25,0.75,28.49
7,2,Stayin' Alive,3,33,72,36.25,-3.25,23.76
7,3,Stayin' Alive,1,40,87,36.25,3.75,34.8
7,4,Yesterday,3,35,87,36.25,-1.25,30.45
8,1,Stayin' Alive,1,67,95,61.5,5.5,63.65
8,2,Stayin' Alive,3,59,95,61.5,-2.5,56.05
8,3,Yesterday,3,59,93,61.5,-2.5,54.87
8,4,Yesterday,1,61,91,61.5,-0.5,55.51
9,1,Yesterday,3,54,95,53.5,0.5,51.3
9,2,Yesterday,1,49,96,53.5,-4.5,47.04
9,3,Stayin' Alive,1,56,93,53.5,2.5,52.08
9,4,Stayin' Alive,3,55,97,53.5,1.5,53.35
10,1,Stayin' Alive,3,53,92,50,3,48.76
10,2,Stayin' Alive,1,53,96,50,3,50.88
10,3,Yesterday,1,43,89,50,-7,38.27
10,4,Yesterday,3,51,93,50,1,47.43
11,1,Stayin' Alive,1,43,89,48.75,-5.75,38.27
11,2,Yesterday,3,50,95,48.75,1.25,47.5
11,3,Stayin' Alive,3,52,94,48.75,3.25,48.88
11,4,Yesterday,1,50,91,48.75,1.25,45.5
12,1,Yesterday,1,53,100,51,2,53
12,2,Yesterday,3,57,98,51,6,55.86
12,3,Stayin' Alive,1,50,94,51,-1,47
12,4,Stayin' Alive,3,44,95,51,-7,41.8
13,1,Yesterday,1,50,94,44.75,5.25,47
13,2,Stayin' Alive,1,47,92,44.75,2.25,43.24
13,3,Stayin' Alive,3,45,91,44.75,0.25,40.95
13,4,Yesterday,3,37,84,44.75,-7.75,31.08
14,1,Yesterday,3,43,89,44,-1,38.27
14,2,Stayin' Alive,1,45,84,44,1,37.8
14,3,Yesterday,1,47,92,44,3,43.24
14,4,Stayin' Alive,3,41,89,44,-3,36.49
15,1,Yesterday,1,48,96,43.25,4.75,46.08
15,2,Yesterday,3,37,88,43.25,-6.25,32.56
15,3,Stayin' Alive,1,46,92,43.25,2.75,42.32
15,4,Stayin' Alive,3,42,93,43.25,-1.25,39.06
16,1,Stayin' Alive,1,52,94,52,0,48.88
16,2,Yesterday,1,55,96,52,3,52.8
16,3,Yesterday,3,52,91,52,0,47.32
16,4,Stayin' Alive,3,49,98,52,-3,48.02
17,1,Yesterday,3,34,87,33.5,0.5,29.58
17,2,Yesterday,1,31,93,33.5,-2.5,28.83
17,3,Stayin' Alive,3,34,94,33.5,0.5,31.96
17,4,Stayin' Alive,1,35,97,33.5,1.5,33.95
18,1,Yesterday,3,31,95,32.75,-1.75,29.45
18,2,Yesterday,1,31,96,32.75,-1.75,29.76
18,3,Stayin' Alive,3,37,99,32.75,4.25,36.63
18,4,Stayin' Alive,1,32,100,32.75,-0.75,32
19,1,Stayin' Alive,1,29,87,29,0,25.23
19,2,Yesterday,1,24,86,29,-5,20.64
19,3,Yesterday,3,30,94,29,1,28.2
19,4,Stayin' Alive,3,33,95,29,4,31.35
20,1,Yesterday,3,56,89,57.75,-1.75,49.84
20,2,Yesterday,1,63,95,57.75,5.25,59.85
20,3,Stayin' Alive,1,60,95,57.75,2.25,57
20,4,Stayin' Alive,3,52,89,57.75,-5.75,46.28
21,1,Yesterday,3,55,92,60.5,-5.5,50.6
21,2,Stayin' Alive,3,62,96,60.5,1.5,59.52
21,3,Stayin' Alive,1,67,98,60.5,6.5,65.66
21,4,Yesterday,1,58,93,60.5,-2.5,53.94
22,1,Stayin' Alive,3,52,87,51.5,-23.5,45.24
22,2,Yesterday,1,62,92,51.5,-3.5,57.04
22,3,Yesterday,3,58,91,51.5,16.5,52.78
22,4,Stayin' Alive,1,68,92,51.5,10.5,62.56
23,1,Stayin' Alive,3,65,92,65.25,-0.25,59.8
23,2,Stayin' Alive,1,69,93,65.25,3.75,64.17
23,3,Yesterday,1,65,86,65.25,-0.25,55.9
23,4,Yesterday,3,62,91,65.25,-3.25,56.42
24,1,Yesterday,3,69,96,73,-4,66.24
24,2,Stayin' Alive,3,71,99,73,-2,70.29
24,3,Yesterday,1,81,97,73,8,78.57
24,4,Stayin' Alive,1,71,98,73,-2,69.58
25,1,Stayin' Alive,1,55,100,54.5,0.5,55
25,2,Yesterday,3,55,97,54.5,0.5,53.35
25,3,Stayin' Alive,3,56,98,54.5,1.5,54.88
25,4,Yesterday,1,52,98,54.5,-2.5,50.96
26,1,Yesterday,1,29,93,55,1.75,26.97
26,2,Stayin' Alive,1,29,93,57.75,1.75,26.97
26,3,Stayin' Alive,3,25,92,54.25,-2.25,23
26,4,Yesterday,3,26,90,55,-1.25,23.4
27,1,Yesterday,3,56,86,55,-2,48.16
27,2,Stayin' Alive,3,57,90,54.25,-1,51.3
27,3,Yesterday,1,60,89,55,2,53.4
27,4,Stayin' Alive,1,59,85,57.75,1,50.15
28,1,Yesterday,3,79,96,55,0.5,75.84
28,2,Stayin' Alive,1,79,94,57.75,0.5,74.26
28,3,Stayin' Alive,3,79,96,54.25,0.5,75.84
28,4,Yesterday,1,77,93,55,-1.5,71.61
29,1,Yesterday,1,54,83,55,-4.25,44.82
29,2,Stayin' Alive,1,64,98,57.75,5.75,62.72
29,3,Yesterday,3,59,96,55,0.75,56.64
29,4,Stayin' Alive,3,56,95,54.25,-2.25,53.2
30,1,Stayin' Alive,1,100,97,74.75,10.25,97
30,2,Stayin' Alive,3,83,95,67.75,-6.75,78.85
30,3,Yesterday,3,87,97,66,-2.75,84.39
30,4,Yesterday,1,89,97,69.25,-0.75,86.33
31,1,Stayin' Alive,3,65,96,67.75,-1.25,62.4
31,2,Yesterday,3,64,93,66,-2.25,59.52
31,3,Stayin' Alive,1,74,97,74.75,7.75,71.78
31,4,Yesterday,1,62,95,69.25,-4.25,58.9
32,1,Stayin' Alive,3,67,93,67.75,1,62.31
32,2,Yesterday,3,64,94,66,-2,60.16
32,3,Stayin' Alive,1,65,91,74.75,-1,59.15
32,4,Yesterday,1,68,100,69.25,2,68
33,1,Yesterday,1,58,92,69.25,2.25,53.36
33,2,Yesterday,3,49,85,66,-6.75,41.65
33,3,Stayin' Alive,3,56,90,67.75,0.25,50.4
33,4,Stayin' Alive,1,60,93,74.75,4.25,55.8
34,1,Yesterday,1,36,72,40.75,-21.25,25.92
34,2,Stayin' Alive,1,44,66,44.5,6.75,29.04
34,3,Yesterday,3,44,70,43.75,6.75,30.8
34,4,Stayin' Alive,3,45,76,43.75,7.75,34.2
35,1,Yesterday,3,42,96,43.75,0.5,40.32
35,2,Yesterday,1,38,95,40.75,-3.5,36.1
35,3,Stayin' Alive,1,46,97,44.5,4.5,44.62
35,4,Stayin' Alive,3,40,96,43.75,-1.5,38.4
36,1,Yesterday,3,39,89,43.75,-4,34.71
36,2,Stayin' Alive,1,41,87,44.5,-2,35.67
36,3,Stayin' Alive,3,40,87,43.75,-3,34.8
36,4,Yesterday,1,44,89,40.75,9,39.16
37,1,Yesterday,1,57,95,40.75,6,54.15
37,2,Stayin' Alive,3,50,90,43.75,-1,45
37,3,Yesterday,3,50,92,43.75,-1,46
37,4,Stayin' Alive,1,47,88,44.5,-4,41.36
38,1,Stayin' Alive,3,29,90,33,-4,26.1
38,2,Yesterday,1,33,99,33,0,32.67
38,3,Yesterday,3,40,98,33,7,39.2
38,4,Stayin' Alive,1,30,90,33,-3,27
39,1,Stayin' Alive,3,55,96,52.25,2.75,52.8
39,2,Yesterday,3,54,94,52.25,1.75,50.76
39,3,Yesterday,1,49,92,52.25,-3.25,45.08
39,4,Stayin' Alive,1,51,91,52.25,-1.25,46.41
40,1,Stayin' Alive,3,54,97,53.5,0.5,52.38
40,2,Stayin' Alive,1,54,92,53.5,0.5,49.68
40,3,Yesterday,1,50,94,53.5,-3.5,47
40,4,Yesterday,3,56,88,53.5,2.5,49.28
