Brand,Water,Strength
Decorator,0,2400
Decorator,0,2400
Decorator,0,2000
Decorator,0,2150
Decorator,0,2000
Decorator,0,2700
Decorator,0,2500
Decorator,0,2600
Decorator,0,2700
Decorator,0,2500
Decorator,0,2000
Decorator,0,2000
Decorator,0,2200
Decorator,0,2300
Decorator,0,1850
Decorator,0,2250
Decorator,0,1800
Decorator,0,2250
Decorator,0,2000
Decorator,0,2200
Decorator,0,2100
Decorator,0,2200
Decorator,0,2000
Decorator,0,2550
Decorator,0,2350
Decorator,0,1700
Decorator,5,875
Decorator,5,600
Decorator,5,825
Decorator,5,575
Decorator,5,625
Decorator,5,650
Decorator,5,800
Decorator,5,650
Decorator,5,700
Decorator,5,700
Decorator,5,775
Decorator,5,800
Decorator,5,625
Decorator,5,575
Decorator,5,675
Decorator,5,600
Decorator,5,750
Decorator,5,650
Decorator,5,850
Decorator,5,550
Decorator,5,775
Decorator,5,725
Decorator,5,850
Decorator,5,825
Decorator,5,600
Decorator,5,700
Decorator,15,400
Decorator,15,450
Decorator,15,325
Decorator,15,450
Decorator,15,450
Decorator,15,350
Decorator,15,450
Decorator,15,500
Decorator,15,400
Decorator,15,550
Decorator,15,550
Decorator,15,300
Decorator,15,450
Decorator,15,500
Decorator,15,525
Decorator,15,450
Decorator,15,400
Decorator,15,450
Decorator,15,625
Decorator,15,550
Decorator,15,500
Decorator,15,350
Decorator,15,500
Decorator,15,375
Decorator,15,450
Decorator,15,300
Comfort,0,3200
Comfort,0,3400
Comfort,0,2800
Comfort,0,3400
Comfort,0,3100
Comfort,0,3200
Comfort,0,2700
Comfort,0,2900
Comfort,0,3600
Comfort,0,2850
Comfort,0,3500
Comfort,0,2900
Comfort,0,3500
Comfort,0,3300
Comfort,0,3000
Comfort,0,3400
Comfort,0,3200
Comfort,0,3300
Comfort,0,3600
Comfort,0,2900
Comfort,0,3600
Comfort,0,3700
Comfort,0,2700
Comfort,0,3000
Comfort,0,3500
Comfort,0,3100
Comfort,5,2000
Comfort,5,1800
Comfort,5,1700
Comfort,5,1500
Comfort,5,1800
Comfort,5,1600
Comfort,5,1700
Comfort,5,1400
Comfort,5,1500
Comfort,5,1600
Comfort,5,2050
Comfort,5,1400
Comfort,5,1700
Comfort,5,1700
Comfort,5,1850
Comfort,5,1500
Comfort,5,2000
Comfort,5,1500
Comfort,5,1700
Comfort,5,1600
Comfort,5,1600
Comfort,5,2000
Comfort,5,1800
Comfort,5,2000
Comfort,5,1700
Comfort,5,1800
Comfort,15,375
Comfort,15,475
Comfort,15,500
Comfort,15,450
Comfort,15,300
Comfort,15,350
Comfort,15,300
Comfort,15,325
Comfort,15,350
Comfort,15,375
Comfort,15,350
Comfort,15,525
Comfort,15,475
Comfort,15,350
Comfort,15,400
Comfort,15,350
Comfort,15,375
Comfort,15,400
Comfort,15,350
Comfort,15,400
Comfort,15,400
Comfort,15,525
Comfort,15,550
Comfort,15,400
Comfort,15,450
Comfort,15,325
